Query,Answer
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?,"PLEASE VISIT NEARBY CSC (common service center)  OR MEE SEVA
దయచేసి  మీకు దగ్గరలో ఉన్నమీ సేవ కేంద్రాన్ని సంప్రదించండి 
"
FARMER ASKED QUERY ABOUT MIXING OF NANO DAP WITH ACIPHATE AND ALIKA IN PADDY?,"RECOMMENDED TO DO NOT ( కలపకూడదు.)
"
FARMER ASKED QUERY ON GROUNDNUT PRICE,"                                                                                              Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	GROUND NUT	  4,011	   6,142	         6,942"
"    FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?
","RECOMMENDED TO CALL AFTER SOME TIME DUE TO SITE PROBLEM
దయచేసి కొంచెం సమయం తరువాత తిరిగి మరల కాల్ చేయండి.
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER FOR DETAILS ABOUT THE SCHEME
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి

"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,Untraceable Beneficiary
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
PM-Kisan Helpline No. 155261 / 011-24300606"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
 FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?,"RECOMMENDED TO CALL AFTER SOME TIME DUE TO SITE PROBLEM
దయచేసి కొంచెం సమయం తరువాత తిరిగి మరల కాల్ చేయండి.
SAY OTP WHILE ON CALL)
(కాల్ లో ఉన్నప్పుడే OTP  చెప్పాలి.)
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,"PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి

"
"
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","UNABLE TO OPEN PM KISAN STATUS , RECOMMENDED TO CALL AGAIN AFTER SOMETIME BECAUSE PM KISAN WEBSITE HAS TECHNICAL  ISSUE "
Farmer asked query on Weather,"మీ ప్రాంతంలో వాతావరణం ఎండ , మబ్బు లుగా ఉంటుంది 
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS?
",OTP will be sent to your eKYC Registered Mobile Number
Farmer asked query on Weather,"CLOUDY WEATHER, NO CHANCE OF SHOWERS IN YOUR AREA మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.వర్షం  పడే అవకాశం లేదు"
COTTON MARKET INFORMATION ?,"State	APMC's	Commodity	Price in Rs.	Commodity Arrivals	Commodity Traded	Unit	Date
Min Price	Modal Price	Max Price
ANDHRA PRADESH	ADONI	COTTON	5,768	7,056	7,829	563	420	Qui	02-03-2024
"
PADDY NUTRIENT MANAGEMENT ?,RECOMMENDED TO SPRAY FANTAC PLUS 100 ML ACRE 
GROUNDNUT MARKET INFORMATION ?,"State	APMC's	Commodity	Price in Rs.	Commodity Arrivals	Commodity Traded	Unit	Date
Min Price	Modal Price	Max Price
ANDHRA PRADESH	ADONI	GROUND NUT	3,100	6,490	7,135	2,218	2,977	Qui	02-03-2024
"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS?
", DUE TO SITE PROBLEM WE ARE UNABLE TO CHECK THE STATUS 
FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,"--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
"
FARMER ASKED QUERY ON CONTACT DETAILS OF SOIL TESTING,"KVK Name	Kurnool 2
KVK Address	Krishi VIgyan Kendra,Banavasi village,Yemmiganur Mandal,Distt. Kurnool
Contact details	Dr T Srinivas, Head KVK, Contact No.: +91-7702366115
Landline No	08512 296111"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER FOR DETAILS ABOUT THE SCHEME
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి"
"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
",https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
Farmer asked query on Weather,"మీ ప్రాంతములో వాతావరణం మబ్బులుగా ఉంటుంది.
"
farmer asked query on pm kisan samman nidhi status,"-https://pmkisan.gov.in/BeneficiaryStatus_New.aspx
-PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి"
FARMER ASKED QUERY ON MARKET INFORMATION OF CHILLI,"--ANDHRA PRADESH	GUNTUR	CHILLI BADIGA  Price in Rs.	  Min Price-10,000	MODAL-15,000	MAXIMUM-20,000

ANDHRA PRADESH	GUNTUR	CHILLI-TEJA	  Price in Rs.         Min Price-2,000	Modal Price-20,000	 Max Price-22,000

ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	Price in Rs.   Min Price-8,000  	Modal Price-15,000	   Max Price20,500"
FARMER ASKED QUERY ON POD BORER MANAGEMENT IN BLACK GRAM,"RECOMMENDED TO SPRAY Novaluron 5.25% + Emamectin benzoate 0.9%(BARAZIDE,UPL-GUNTHER) 320 ML /ACRE/200LIT OF WATER 
"
Farmer asked query on PM Kisan Samman Nidhi status,"Reason of Stop Payment (If Any) : Not Eligible
Payment Status : 2nd installment payment stopped by state on request of Districts
FTO processed :-  No"
Farmer asked query on Mandi details,"                                                                                                                 Min Price	Modal Price	Max Price
ANDHRA PRADESH	GUNTUR	CHILLI-DEVANURU DELUX	           12,500	           16,000	            24,500

ఫీడ్బ్యాక్ ఇవ్వకుండా కాల్ని డిస్కనెక్ట్ చేయవద్దు				"
farmer asked query on PM Kisan Samman Nidhi status,https://pmkisan.gov.in/KnowYour_Registration.aspx
