StateName,DistrictName,BlockName,Season,Sector,Category,Crop,QueryType,QueryText,KccAns,CreatedOn,year,month
ANDHRA PRADESH,KURNOOL,HALAHARVI,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?,"PLEASE VISIT NEARBY CSC (common service center)  OR MEE SEVA
దయచేసి  మీకు దగ్గరలో ఉన్నమీ సేవ కేంద్రాన్ని సంప్రదించండి 
",2024-03-01T10:06:41.96,2024,3
ANDHRA PRADESH,KURNOOL,C.BELAGAL,NA,AGRICULTURE,Cereals,Paddy (Dhan),Nutrient Management,FARMER ASKED QUERY ABOUT MIXING OF NANO DAP WITH ACIPHATE AND ALIKA IN PADDY?,"RECOMMENDED TO DO NOT ( కలపకూడదు.)
",2024-03-01T11:47:30.357,2024,3
ANDHRA PRADESH,KURNOOL,KRISHNAGIRI,NA,AGRICULTURE,Oilseeds,Groundnut (pea nut/mung phalli),Market Information,FARMER ASKED QUERY ON GROUNDNUT PRICE,"                                                                                              Min Price	Modal Price	Max Price
ANDHRA PRADESH	KURNOOL	GROUND NUT	  4,011	   6,142	         6,942",2024-03-01T12:09:53.947,2024,3
ANDHRA PRADESH,KURNOOL,GONEGANDLA,NA,AGRICULTURE,Others,Others,Government Schemes,"    FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?
","RECOMMENDED TO CALL AFTER SOME TIME DUE TO SITE PROBLEM
దయచేసి కొంచెం సమయం తరువాత తిరిగి మరల కాల్ చేయండి.
",2024-03-01T13:39:09.813,2024,3
ANDHRA PRADESH,KURNOOL,ALLAGADDA,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME BENIFICIARY STATUS
","--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER FOR DETAILS ABOUT THE SCHEME
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి

",2024-03-02T09:15:30.65,2024,3
ANDHRA PRADESH,KURNOOL,ALLAGADDA,NA,AGRICULTURE,Others,Others,Government Schemes,FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME,Untraceable Beneficiary,2024-03-02T09:48:00.753,2024,3
ANDHRA PRADESH,KURNOOL,ASPARI,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","--PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
",2024-03-02T11:39:02.863,2024,3
ANDHRA PRADESH,KURNOOL,YEMMIGANUR,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
PM-Kisan Helpline No. 155261 / 011-24300606",2024-03-02T11:40:58.077,2024,3
ANDHRA PRADESH,KURNOOL,KOSIGI,NA,AGRICULTURE,Others,Others,Government Schemes,"FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME
","PLEASE CONTACT YOUR MANDAL AGRICULTURAL OFFICER 
దయచేసి  మీ  మండల వ్యవసాయ అధికారిని సంప్రదించండి
",2024-03-02T13:08:29.033,2024,3
ANDHRA PRADESH,KURNOOL,ASPARI,NA,AGRICULTURE,Others,Others,Government Schemes, FARMER ASKED QUERY ON PM KISAN SAMMAN NIDHI SCHEME?,"RECOMMENDED TO CALL AFTER SOME TIME DUE TO SITE PROBLEM
దయచేసి కొంచెం సమయం తరువాత తిరిగి మరల కాల్ చేయండి.
SAY OTP WHILE ON CALL)
(కాల్ లో ఉన్నప్పుడే OTP  చెప్పాలి.)
",2024-03-02T16:06:56.053,2024,3
